枪械名称,类型,价格,核心配件,改枪码,备注,图片
mk47,慎用,51w,全腰射配件,MK47突击步枪-烽火地带-6HRQP1G0E4A21AQNOF0DJ,“mk47不好压？那就别压了！打腰射！”,images/mk47-03.png
kc17,半改,32(35w),短枪管+pbs+rk0+AR MOE以及kc17专属枪托,KC17突击步枪-烽火地带-6HRFUP40E4A21AQNOF0DJ,这枪现在可以卡几万的假账，枪托属性好到离谱不过长得是真难看,images/kc17-00.png
kc17,半改,33(37)w,侵袭后握+操控贴片,KC17突击步枪-烽火地带-6HRJJDS0B96G973FB01HI,更偏向操控速度的改法,images/kc17-01.png
k437,半改,33w,长枪管,K437突击步枪-烽火地带-6HRFVKG0E4A21AQNOF0DJ,挺均衡一个枪，好久以前改的，没啥印象了,images/k437-00.png
腾龙,满改,45w,高速导气，现金多口径消音，兵锋握把,腾龙突击步枪-烽火地带-6HRGFVO0E4A21AQNOF0DJ,这枪是我以前玩二号位主打的，只不过还是有点抢鼠标,images/191-00.png
ASh-12,半改,29w,MERGE: 泰坦消音，长枪管，CR阻手,ASh-12战斗步枪-烽火地带-6HRG1A80E4A21AQNOF0DJ,机密场好用,images/ash12-00.png
ASh-12,满改,48w,,ASh-12战斗步枪-烽火地带-6HRG2FK0E4A21AQNOF0DJ,磁悬浮机瞄有没有懂的，说起来我还挺喜欢这么打的,images/ash12-01.png
AUG,半改,29w,制式套改法,AUG突击步枪-烽火地带-6HRG6M40E4A21AQNOF0DJ,好吧，其实我就喜欢用制式套这个AUG,images/aug-00.png
M7,半改,45w,提风长枪管,M7战斗步枪-烽火地带-6HRPNEC0E4A21AQNOF0DJ,最近好像不少人在玩半改m7所以改了一个，也可以选择不加多的配件等局内改枪,images/m7-addon00.png
M7,满改,67w,提风+现金多口径+共振一,M7战斗步枪-烽火地带-6HRG8F80E4A21AQNOF0DJ,标准满改改法,images/m7-00.png
M14,满改,78w,双垂直+短管+影袭导轨,M14射手步枪-烽火地带-6HF0VGO0BUSC4ICNIF6TI,短管改法来自@尉迟云辰，但是我不会玩（,images/m14-00.png
M14,慎用,101w,"你知道的，这个表里总需要一个最贵的枪",M14射手步枪-烽火地带-6HRITGO0E4A21AQNOF0DJ,我说这是单点堵桥用的你信吗？,images/m14-01.png
AS-Val,丐版,18w,无托腰射爆弹流,AS Val突击步枪-烽火地带-6HRQ33O0E4A21AQNOF0DJ,丐中丐，要升级可以从枪托入手,images/asval-00.png
AS-Val,半改,27w,MERGE:围绕精英一体枪托做的build,AS Val突击步枪-烽火地带-6HRQ42O0E4A21AQNOF0DJ,MERGE:这枪总体可以改的地方不多，这里的改法为尽量堆稳定/后座,images/asval-01.png
AS-Val,满改,37w,,AS Val突击步枪-烽火地带-6HRQ4B40E4A21AQNOF0DJ,,images/asval-02.png
SR-3M,丐版,19w,DTK制退器，SR-3M枪托尾盖,SR-3M紧凑-烽火地带-6HRQ8M40E4A21AQNOF0DJ,无托爆弹枪,images/sr3m-00.png
SR-3M,半改,25w,实用消音，射手ak后握，侵略核心托,SR-3M紧凑-烽火地带-6HRQ7LK0E4A21AQNOF0DJ,偏稳定的双修改法,images/sr3m-01.png
SR-3M,半改,31w,DTK制退器，SR-3M枪托尾盖,SR-3M紧凑-烽火地带-6HRQ9840E4A21AQNOF0DJ,满腰射爆弹枪Pro,images/sr3m-02.png
SR-3M,小满改,40w,DTK制退器，斜握把,SR-3M紧凑-烽火地带-6HRQ9H40E4A21AQNOF0DJ,高改双修，偷的理解,images/sr3m-03.png
SR-3M,满改,51w,回声消音器，影袭托芯枪托,SR-3M紧凑-烽火地带-6HRQA9K0E4A21AQNOF0DJ,回声92腰射30发弹夹改法,images/sr3m-04.png
SR-3M,顶配,60w,隐击消音，斜握,SR-3M紧凑-烽火地带-6HRPTHO0E4A21AQNOF0DJ,满腰射高稳定，这枪现在这么贵隐击消音全责，不过属性不得不承认是真的好,images/sr3m-05.png
MP7,丐版,19w,爆弹流,MP7冲锋枪-烽火地带-6HRQEEO0E4A21AQNOF0DJ,小小的也很可爱,images/mp7-00.png
MP7,半改,34w,炽火抑制器，ZFSG握把，枪托尾盖，稳固后握把,MP7冲锋枪-烽火地带-6HRQBO80E4A21AQNOF0DJ,高稳定80腰射双修流，如果喜欢可以自己换60发弹鼓，不过我感觉没必要（,images/mp7-01.png
Mini-14,慎用,31w,cosplay m14改法,Mini-14射手步枪-烽火地带-6HRIU880E4A21AQNOF0DJ,"兄弟，你那天问我为什么我m14射速这么慢，我骗了你，其实我玩的是mini-14",images/mini14-00.png
VSS,慎用,30w,cosplay AS-Val改法,VSS射手步枪-烽火地带-6HRIUSS0E4A21AQNOF0DJ,"兄弟，你那天问我我的AS-Val为什么射速这么慢，我又骗了你",images/vss-00.png
AKS-74U,慎用,26w,cosplay sr-3m改法,AKS-74U-烽火地带-6HRJ01K0E4A21AQNOF0DJ,兄弟对不起喵，我再也不骗你了喵，别草我喵,images/aks74u-00.png
M16A4,慎用,39w,cosplay k416改法,M16A4突击步枪-烽火地带-6HRJ0QO0E4A21AQNOF0DJ,兄弟....不要.......,images/m16a4-00.png
QBZ-95,半改,19w,MERGE: 长弓组合，剩下这枪也没啥可改的,QBZ95-1-烽火地带-6HRGB4C0E4A21AQNOF0DJ,MERGE: 最优质的战士,images/qbz95-00.png
QBZ-95,满改,35w,,QBZ95-1-烽火地带-6HRGAMG0E4A21AQNOF0DJ,,images/qbz95-01.png
171,半改,26w,一体消音，竞赛阻手，兵锋新式握把,QCQ171冲锋枪-烽火地带-6HRPQFK0E4A21AQNOF0DJ,67后座92腰射双修流,images/171-00.png
171,满改,36w,长枪管，骨架狙，新式尖兵握把,QCQ171冲锋枪-烽火地带-6HRPO680E4A21AQNOF0DJ,自用改法，可能不算最优解，机密场好玩,images/171-01.png
171,一秒变异,49w,不只是修脚但是因修脚成名,QCQ171冲锋枪-烽火地带-6HRPO8K0E4A21AQNOF0DJ,49w可以卡战备进绝密航天修脚，改枪码完全复刻的一秒变异,images/171-02.png
g3,半改,20w,标准枪管，钢制膛口+侵略托+破晓垂直+psg1后握,G3战斗步枪-烽火地带-6HRFS5C0E4A21AQNOF0DJ,这枪怎么改都不会出问题，对吧...?,images/g3-00.png
g3,慎用,23w,大弹鼓死寂短管无托腰射流,G3战斗步枪-烽火地带-6HRFTS80E4A21AQNOF0DJ,拿这个枪在机坝灭过队，至于怎么灭的你别管,images/g3-01.png
PTR-32,半改,18w,标准g3系枪械改法,PTR-32突击步枪-烽火地带-6HRJ16O0E4A21AQNOF0DJ,便宜好用，可以在普坝玩玩,images/ptr32-00.png
SCAR-H,慎用,41w,大弹鼓死寂短管无托双修流,SCAR-H-烽火地带-6HRG4B00E4A21AQNOF0DJ,拿这个枪在机坝没灭过队,images/scarh-00.png
SCAR-H,半改,32w,长枪管高性能7.62x51发射器,SCAR-H-烽火地带-6HRPMJ40E4A21AQNOF0DJ,适合新手，码是偷的，主包不玩这枪,images/scarh-01.png
AKM,粑粑流,12w,反射式瞄准镜,AKM突击步枪-烽火地带-6HRGCFG0E4A21AQNOF0DJ,标准粑粑流,images/akm-00.png
AKM,粑粑流Pro,15w,俄式消音器,AKM突击步枪-烽火地带-6HRGE200E4A21AQNOF0DJ,粑粑流Pro,images/akm-01.png
AKM,粑粑流Ultra,16w,MERGE:俄式消音，实用长枪管,AKM突击步枪-烽火地带-6HRGCOK0E4A21AQNOF0DJ,粑粑流Ultra,images/akm-02.png
AKM,半改,26w,,AKM突击步枪-烽火地带-6HRGD340E4A21AQNOF0DJ,机密场好用,images/akm-03.png
AKM,颗秒流,27w,性能枪管组合，PT1托,AKM突击步枪-烽火地带-6HRK9D00E4A21AQNOF0DJ,适合高手 <br/> ~~颗秒！~~,images/akm-04.png
M4A1,小满改,36w,模块化AR其实很猛，但是太贵了用不起,M4A1突击步枪-烽火地带-6HRGE8O0E4A21AQNOF0DJ,好像是制式改法...?,images/m4a1-00.png
MP5,半改,13w,几乎全绿配件,MP5冲锋枪-烽火地带-6HRIH900E4A21AQNOF0DJ,混合流，好像是偷的理解,images/mp5-00.png
MP5,慎用,30w,战术竞备皮肤改法,MP5冲锋枪-烽火地带-6HRIH2C0E4A21AQNOF0DJ,其实还挺好用的只不过因为太贵了所以放进慎用了,images/mp5-01.png
勇士,半改,18w,钢制膛口+稳定ak后握，剩下全绿,勇士冲锋枪-烽火地带-6HRQJI80E4A21AQNOF0DJ,平常不玩这枪，随便改的，性价比高,images/warrior-00.png
UZI,半改,10w,实用消音器+全绿配件,UZI冲锋枪-烽火地带-6HRPR780E4A21AQNOF0DJ,机坝跑刀自用,images/uzi-00.png
P90,丐版,18w,斜握把,P90冲锋枪-烽火地带-6HRPRQ00E4A21AQNOF0DJ,丐中丐，某个赛季做金枪客还是狙击精英抄的作业,images/p90-00.png
P90,半改,26w,战术垂直握把+钢制膛口制退器,P90冲锋枪-烽火地带-6HRPSQC0E4A21AQNOF0DJ,半改，稳，只不过改枪码是偷的（,images/p90-01.png
P90,满改,40w,先进多口径消音+竞赛阻手器,P90冲锋枪-烽火地带-6HRPROK0E4A21AQNOF0DJ,超稳，虽然枪价格高了一点但是子弹价格还算好,images/p90-02.png
SMG-45,丐版,17w,侵略核心+射手D-2，剩下全绿,SMG-45冲锋枪-烽火地带-6HRQFCG0E4A21AQNOF0DJ,MERGE:这枪丐版就能玩，性价比高，稳定，但是打不了高级护甲,images/smg45-00.png
SMG-45,40m中改,28w,先进多口径消音+长弩超长枪管,SMG-45冲锋枪-烽火地带-6HRR9AO0E4A21AQNOF0DJ,,images/smg45-01.png
Vector,满改,47w,先进多口径消音，超长枪管，共振一体枪托,Vector冲锋枪-烽火地带-6HRQHR80E4A21AQNOF0DJ,很久以前存的改法，适合富哥，配件现在巨贵还吃子弹钱,images/vector-00.png
725,慎用,24w,outlaw莽侠改法,725双管霰弹枪-烽火地带-6HRIHKS0E4A21AQNOF0DJ,瓦学弟专武有没有懂的,images/725-00.png
M1014,半改,15w,霰弹枪涡流收束器全腰射改法,M1014霰弹枪-烽火地带-6HRII5G0E4A21AQNOF0DJ,之前s3开始摸金航天熟图跑刀的时候最喜欢的武器,images/m1014-00.png
SR-25,满改,59w,短管改法,SR-25射手步枪-烽火地带-6HRIIN00E4A21AQNOF0DJ,下限极高，同级蛋保底四枪死，上限也能两枪头,images/sr25-00.png
SR-25,慎用,79w,满射程改法,SR-25射手步枪-烽火地带-6HRIJ1C0E4A21AQNOF0DJ,有一次不小心带着这把枪选了乌鲁鲁，一不小心在桥上被三队围攻的时候杀了7个,images/sr25-01.png
Marlin,半改,21(14)w,猎鹿人枪管+蜂鸟杠杆,Marlin杠杆步枪-烽火地带-6HRIJDS0E4A21AQNOF0DJ,半改混合流最新跑刀神器，但是溢价极其严重,images/marlin-00.png
Marlin,半改,21(15)w,猎鹿人枪管+犀牛杠杆+战锤托,Marlin杠杆步枪-烽火地带-6HRIKF40E4A21AQNOF0DJ,机密场单三可用小狙，但是依然溢价严重,images/marlin-01.png
SV-98,丐版,14w,实用消+6-12,SV-98狙击步枪-烽火地带-6HRIL0C0E4A21AQNOF0DJ,长弓跑刀用，近战捡人机枪,images/sv98-00.png
R93,丐版,12w,单LVPO镜,R93狙击步枪-烽火地带-6HRIPCG0E4A21AQNOF0DJ,理解偷自@神楽萝卜，7.62x51发射器,images/r93-00.png
R93,半改,25w,3-7+轻盈短管+先进多口径,R93狙击步枪-烽火地带-6HRIPV00E4A21AQNOF0DJ,高操控所以感觉不用带镭射,images/r93-01.png
AWM,慎用,63w,一倍镜+操控贴片,AWM狙击步枪-烽火地带-6HRILQK0E4A21AQNOF0DJ,去下载一个叫做责任的电话：摩登战争的游戏，在里面选把射手步枪，打200个小时就可以驾驭这个了,images/awm-00.png
m700,半改,21W,6-12+实用消,M700狙击步枪-烽火地带-6HRIO5S0E4A21AQNOF0DJ,正常半改，相比r93更适合远距离，相比sv98机动性更好,images/m700-00.png
m700,满改,53w,平流层长枪管+共鸣消,M700狙击步枪-烽火地带-6HRIN1K0E4A21AQNOF0DJ,回来吧我的    45w标准m700，现在不建议玩这个，太贵了,images/m700-01.png
m700,慎用,38w,单倍一体消+幻影垂直+幻影后握,M700狙击步枪-烽火地带-6HRIOP40E4A21AQNOF0DJ,冲刺！冲刺！冲！,images/m700-02.png
.357,丐版,9w7,实用强灯,.357左轮-烽火地带-6HRIR2O0E4A21AQNOF0DJ,“夜空中最亮的星”,images/357-00.png
G18,丐版,12w,花来！,G18-烽火地带-6HRIRNC0E4A21AQNOF0DJ,修脚届最高的山最长的河,images/g18-00.png
93R,半改,16w,全上最贵的,93R-烽火地带-6HRIS6C0E4A21AQNOF0DJ,一轮点头能秒，单手枪卡战备进机密，适合高手,images/93r-00.png
S12K,满改,29w,全腰射配件,S12K霰弹枪-烽火地带-6HRQM6O0E4A21AQNOF0DJ,“深蓝削了怎么办？”,images/s12k-00.png
复合弓,慎用,33w,全腰射配件,复合弓-烽火地带-6HRQL300E4A21AQNOF0DJ,「竜が我が敌を喰らう!」,images/compound-00.png
